wastewater_treatment_plant.name,collection_date,target,dilution,assay,gc_per_lww,TotalDroplets,flow,ara_id,population
CDA Lugano,2021-08-08T00:00:00Z,SARS-N1,3,n1mhv,7614.3859062832125,26796,89762,515100,124000
CDA Lugano,2021-08-08T00:00:00Z,SARS-N1,3,n1mhv,5147.339845944737,26425,89762,515100,124000
CDA Lugano,2021-08-07T00:00:00Z,SARS-N1,3,n1mhv,6426.027672522749,26459,68655,515100,124000
CDA Lugano,2021-08-07T00:00:00Z,SARS-N1,3,n1mhv,4300.517317111776,23721,68655,515100,124000
CDA Lugano,2021-08-06T00:00:00Z,SARS-N1,3,n1mhv,7619.504821218749,26778,102940,515100,124000
CDA Lugano,2021-08-05T00:00:00Z,SARS-N1,3,n1mhv,1379.7569390325518,24644,134699,515100,124000
CDA Lugano,2021-08-05T00:00:00Z,SARS-N1,3,n1mhv,1378.470400221993,24667,134699,515100,124000
CDA Lugano,2021-08-04T00:00:00Z,SARS-N1,3,n1mhv,2521.658271876696,26969,156488,515100,124000
CDA Lugano,2021-08-04T00:00:00Z,SARS-N1,3,n1mhv,2543.539806870343,26737,156488,515100,124000
ARA Chur,2021-08-08T00:00:00Z,SARS-N1,3,n1mhv,32183.665556981454,23254,39090,390101,55000
ARA Chur,2021-08-08T00:00:00Z,SARS-N1,3,n1mhv,39469.947307503724,25859,39090,390101,55000
ARA Altenrhein,2021-08-08T00:00:00Z,SARS-N1,3,n1mhv,199479.20752202172,26327,27991,323700,64000
ARA Altenrhein,2021-08-08T00:00:00Z,SARS-N1,3,n1mhv,107682.6179104553,26566,27991,323700,64000
ARA Sensetal,2021-08-08T00:00:00Z,SARS-N1,3,n1mhv,5215.636797034182,26079,48362,66700,62000
ARA Sensetal,2021-08-08T00:00:00Z,SARS-N1,3,n1mhv,11817.89044709375,25899,48362,66700,62000
ARA Chur,2021-08-07T00:00:00Z,SARS-N1,3,n1mhv,51768.81712260482,23663,38313,390101,55000
ARA Chur,2021-08-07T00:00:00Z,SARS-N1,3,n1mhv,28776.27128628943,23642,38313,390101,55000
